examID;studentID;score;grade;passed
1;1191239475;20;;TRUE
6;1191239475;40;4;TRUE
1;1191286252;18;;TRUE
6;1191286252;30;3;TRUE
1;1191231153;10;;FALSE
19;1191231153;25;;TRUE
24;1191231153;50;5;TRUE
1;1191231942;13;;TRUE
6;1191231942;10;;FALSE
19;1191231942;10;;FALSE
1;1191231649;19;;TRUE
6;1191231649;35;4;TRUE
12;1191239475;35;;TRUE
12;1191286252;25;;FALSE
30;1191286252;58;;TRUE
37;1191286252;40;5;TRUE
12;1191231153;45;;TRUE
18;1191231153;20;3;TRUE
12;1191231942;20;;FALSE
30;1191231942;30;;TRUE
37;1191231942;25;2;TRUE
30;1191231649;50;;TRUE
37;1191231649;30;4;TRUE
2;1191239475;12;;FALSE
21;1191239475;19;;TRUE
27;1191239475;40;3;TRUE
2;1191286252;24;;TRUE
8;1191286252;45;4;TRUE
21;1191231153;16;;TRUE
27;1191231153;30;2;TRUE
21;1191231942;30;;TRUE
27;1191231942;55;5;TRUE
7;1191231649;14;;FALSE
26;1191231649;28;5;TRUE
26;1191236502;24;4;TRUE
7;1191230510;12;;FALSE
17;1191236419;80;4;TRUE
35;1191235924;92;5;TRUE
35;1191236315;83;4;TRUE
17;1191233554;45;;FALSE
35;1191233554;65;3;TRUE
3;1191236419;28;;TRUE
9;1191236419;20;3;TRUE
20;1191235924;5;;FALSE
3;1191235131;2;;FALSE
3;1191237461;18;;FALSE
20;1191237461;26;;TRUE
28;1191237461;25;3;TRUE
3;1191232562;15;;FALSE
20;1191232562;22;;TRUE
28;1191232562;5;;FALSE
14;1191239475;30;;FALSE
33;1191239475;53;2;TRUE
14;1191286252;40;;FALSE
33;1191286252;96;5;TRUE
14;1191231153;99;5;TRUE
33;1191231942;20;;FALSE
33;1191236057;64;3;TRUE
10;1191236502;10;;FALSE
29;1191236502;15;;TRUE
34;1191236502;35;3;TRUE
10;1191230510;17;;TRUE
15;1191230510;30;3;TRUE
29;1191236057;12;;FALSE
5;1191236502;20;;TRUE
13;1191236502;35;4;TRUE
25;1191230510;25;;TRUE
32;1191230510;45;5;TRUE
5;1191236057;10;;FALSE
25;1191236057;13;;TRUE
32;1191236057;25;2;TRUE
4;1191236419;20;;TRUE
11;1191236419;30;5;TRUE
4;1191235924;8;;FALSE
23;1191235924;18;;TRUE
31;1191235924;30;5;TRUE
23;1191236315;14;;TRUE
31;1191236315;18;3;TRUE
4;1191235131;16;;TRUE
11;1191235131;24;4;TRUE
16;1191236502;48;;FALSE
36;1191236502;72;;TRUE
38;1191236502;50;2;TRUE
16;1191230510;45;;FALSE
36;1191230510;79;;TRUE
38;1191230510;60;3;TRUE
36;1191236057;30;;FALSE
